Skills,Interests,Recommended_Career,source,Education,CGPA,career_label
cloud computing;devops;python,arts;digital media,Biostatistician,ai_dataset,Not specified,Not specified,47
java;algorithms;data structures,healthcare;ai,Graphic Designer,ai_dataset,Not specified,Not specified,146
ux research;prototyping;interaction design,business;management,Data Engineer,ai_dataset,Not specified,Not specified,92
copywriting;seo;social media,finance;analytics,Content Strategist,ai_dataset,Not specified,Not specified,74
network security;linux;python,marketing;communications,Data Analyst,ai_dataset,Not specified,Not specified,91
c#;.net;software design,cybersecurity;technology,Business Analyst,ai_dataset,Not specified,Not specified,50
data visualization;python;r,academia;research,Automation Engineer,ai_dataset,Not specified,Not specified,36
python;data analysis;machine learning,technology;data science,Machine Learning Engineer,ai_dataset,Not specified,Not specified,191
java;system design;cloud computing,software development;ai,Digital Marketer,ai_dataset,Not specified,Not specified,111
graphic design;ui/ux;adobe creative suite,arts;digital media,Financial Analyst,ai_dataset,Not specified,Not specified,131
html;css;javascript,healthcare;ai,Content Strategist,ai_dataset,Not specified,Not specified,74
c++;embedded systems;iot,business;management,Mobile Developer,ai_dataset,Not specified,Not specified,215
sql;data warehousing;etl,finance;analytics,UX Researcher,ai_dataset,Not specified,Not specified,358
javascript;react;node.js,marketing;communications,Cybersecurity Specialist,ai_dataset,Not specified,Not specified,86
digital marketing;seo;content creation,cybersecurity;technology,Data Analyst,ai_dataset,Not specified,Not specified,91
project management;agile;communication,academia;research,Cloud Engineer,ai_dataset,Not specified,Not specified,68
python;deep learning;statistics,web development;design,Graphic Designer,ai_dataset,Not specified,Not specified,146
financial analysis;excel;econometrics,technology;data science,Data Scientist,ai_dataset,Not specified,Not specified,95
research;statistical analysis;python,software development;ai,Software Engineer,ai_dataset,Not specified,Not specified,304
cloud computing;devops;python,arts;digital media,UX Designer,ai_dataset,Not specified,Not specified,357
java;algorithms;data structures,healthcare;ai,AI Researcher,ai_dataset,Not specified,Not specified,0
ux research;prototyping;interaction design,business;management,Project Manager,ai_dataset,Not specified,Not specified,250
copywriting;seo;social media,finance;analytics,Embedded Systems Engineer,ai_dataset,Not specified,Not specified,120
c#;.net;software design,cybersecurity;technology,Digital Marketer,ai_dataset,Not specified,Not specified,111
data visualization;python;r,academia;research,NLP Engineer,ai_dataset,Not specified,Not specified,218
machine learning;big data;python,web development;design,Financial Analyst,ai_dataset,Not specified,Not specified,131
python;data analysis;machine learning,technology;data science,Research Scientist,ai_dataset,Not specified,Not specified,271
java;system design;cloud computing,software development;ai,Front-end Developer,ai_dataset,Not specified,Not specified,135
graphic design;ui/ux;adobe creative suite,arts;digital media,Software Developer,ai_dataset,Not specified,Not specified,302
html;css;javascript,healthcare;ai,Data Analyst,ai_dataset,Not specified,Not specified,91
c++;embedded systems;iot,business;management,Machine Learning Engineer,ai_dataset,Not specified,Not specified,191
sql;data warehousing;etl,finance;analytics,Digital Marketer,ai_dataset,Not specified,Not specified,111
javascript;react;node.js,marketing;communications,Data Scientist,ai_dataset,Not specified,Not specified,95
digital marketing;seo;content creation,cybersecurity;technology,Software Developer,ai_dataset,Not specified,Not specified,302
project management;agile;communication,academia;research,Project Manager,ai_dataset,Not specified,Not specified,250
python;deep learning;statistics,web development;design,UX Designer,ai_dataset,Not specified,Not specified,357
financial analysis;excel;econometrics,technology;data science,Data Analyst,ai_dataset,Not specified,Not specified,91
research;statistical analysis;python,software development;ai,Marketing Manager,ai_dataset,Not specified,Not specified,196
cloud computing;devops;python,arts;digital media,Full Stack Developer,ai_dataset,Not specified,Not specified,137
java;algorithms;data structures,healthcare;ai,AI Specialist,ai_dataset,Not specified,Not specified,1
ux research;prototyping;interaction design,business;management,Cybersecurity Analyst,ai_dataset,Not specified,Not specified,85
copywriting;seo;social media,finance;analytics,Research Analyst,ai_dataset,Not specified,Not specified,268
network security;linux;python,marketing;communications,DevOps Engineer,ai_dataset,Not specified,Not specified,107
c#;.net;software design,cybersecurity;technology,Graphic Designer,ai_dataset,Not specified,Not specified,146
data visualization;python;r,academia;research,Deep Learning Engineer,ai_dataset,Not specified,Not specified,101
machine learning;big data;python,web development;design,Business Analyst,ai_dataset,Not specified,Not specified,50
python;data analysis;machine learning,technology;data science,Backend Developer,ai_dataset,Not specified,Not specified,44
graphic design;ui/ux;adobe creative suite,arts;digital media,Biostatistician,ai_dataset,Not specified,Not specified,47
html;css;javascript,healthcare;ai,Graphic Designer,ai_dataset,Not specified,Not specified,146
c++;embedded systems;iot,business;management,Data Engineer,ai_dataset,Not specified,Not specified,92
sql;data warehousing;etl,finance;analytics,Content Strategist,ai_dataset,Not specified,Not specified,74
digital marketing;seo;content creation,cybersecurity;technology,Business Analyst,ai_dataset,Not specified,Not specified,50
project management;agile;communication,academia;research,Automation Engineer,ai_dataset,Not specified,Not specified,36
financial analysis;excel;econometrics,technology;data science,Machine Learning Engineer,ai_dataset,Not specified,Not specified,191
research;statistical analysis;python,software development;ai,Digital Marketer,ai_dataset,Not specified,Not specified,111
cloud computing;devops;python,arts;digital media,Financial Analyst,ai_dataset,Not specified,Not specified,131
java;algorithms;data structures,healthcare;ai,Content Strategist,ai_dataset,Not specified,Not specified,74
ux research;prototyping;interaction design,business;management,Mobile Developer,ai_dataset,Not specified,Not specified,215
copywriting;seo;social media,finance;analytics,UX Researcher,ai_dataset,Not specified,Not specified,358
network security;linux;python,marketing;communications,Cybersecurity Specialist,ai_dataset,Not specified,Not specified,86
c#;.net;software design,cybersecurity;technology,Data Analyst,ai_dataset,Not specified,Not specified,91
data visualization;python;r,academia;research,Cloud Engineer,ai_dataset,Not specified,Not specified,68
machine learning;big data;python,web development;design,Graphic Designer,ai_dataset,Not specified,Not specified,146
"python,sql,java",cloud computing,Software,recommender_dataset,B.Sc,85,301
"critical thinking, analytic thinking, sql, programming, work under pressure, logical skills, problem solving skills",technology,Computer Software Engineer,recommender_dataset,B.E,66.5,71
"plc allen bradley,plc ladder logic,labview,business analysis,end-to-end projectmanagement,crossfunctional team leadership,requirements gathering,lean six sigma,lean six sigma blackbelt,productivity improvement",technology,Plant Instrumentation Engineer,recommender_dataset,B.Tech,70.68,233
"programming language skills,critical thinking,linux,python,sql,java",technology,senior software engineer,recommender_dataset,B.Tech,69.35,375
"accounting skills, analytic thinking, cost accounting, team work, excel, problem solving skills, writing, tableau",financial analysis,Tele-caller,recommender_dataset,B.Com,63.745,344
"analytic thinking, gathering informing, communication skills, team work, presentation skills, problem solving skills","take risk for profits, technology, entrepreneurship",Data Engineer,recommender_dataset,BE,71.44,92
"analytical skills,data visualization skills( power bi/ tableau ),machine learning skills,python,sql","research,technology,data analytics,govt. job",Worked in Research Institute,recommender_dataset,BE,69.35,368
"python, critical thinking, analytic thinking, gathering informing, sql, programming, leadership, product knowledge, cost accounting, market study, team work, excel, logical skills, r, problem solving skills, writing, tableau",entrepreneurship,Teacher,recommender_dataset,BE,71.25,333
"matlab ,embedded c, arduino, c ++,c ,avr,eagle pcb,arm cortex-m,kicad,software project management",technology,Embedded System Engineer,recommender_dataset,B.Tech,81.7,119
"active listening,critical thinking,analytical skills,people management,communication skills,leadership,problem solving skills,designing skills,proeficiency in software like staad pro, etabs","research,teaching,technology,data analytics",Assistant Professor,recommender_dataset,BE,74.33,16
hardware skills,"teaching,technology,industires",Mine Engineer,recommender_dataset,M.Tech,92,212
"proeficiency in software like staad pro, etabs,cad/cae(autocad/catia/ansys/proe/seimensnx)","technology,all fields related to data science.,industires,information technology",Mechanical Design Engineer,recommender_dataset,B.Tech,73.15,201
"active listening,teaching",teaching,Teaching,recommender_dataset,BCA,69,334
"critical thinking,problem solving skills,designing skills,interpersonal skills,python",design,Field Engineer,recommender_dataset,B.Tech,73.15,129
"strategic planning,financial analysis,financial modeling,marketing strategy,financial services",financial analysis,Investment Banking Associate,recommender_dataset,BBA,73.625,165
"business knowledge, people management, communication skills, work under pressure, leadership, market study, team work, interpersonal skills, presentation skills, designing skills, sales, design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble","financial analysis, sales/marketing, technology, entrepreneurship",Sales Executive,recommender_dataset,BE,84.55,280
"creativity skills, excel, logical skills, observation skills, risk managing, designing skills, vlsi design,simulation,embedded,iot",embedded design,VLSI Digital Design,recommender_dataset,BE,81.795,363
"active listening,business knowledge,communication skills,negotiation skills,leadership,product knowledge,problem solving skills,sales,interpersonal skills",sales/marketing,Life insurance,recommender_dataset,B.Com,55,182
"business knowledge,analytical skills,negotiation skills,problem solving skills,data visualization skills( power bi/ tableau ),machine learning skills,sql","financial analysis,technology,trading,data analytics",Full stack developer,recommender_dataset,B.Tech,76.475,138
"programming language skills,people management,mass communication,leadership,designing skills,writing skills,architecture",home interior design,Junior interior designer,recommender_dataset,B.Sc,74,173
"business knowledge, product knowledge, team work, sales",take risk for profits,Tele-caller,recommender_dataset,B.Com,57,344
"gathering informing, people management, communication skills, work under pressure, leadership, team work, interpersonal skills, mass communication, observation skills, risk managing",entrepreneurship,HR,recommender_dataset,B.Tech,65.55,149
sports,government jobs,Pc,recommender_dataset,B.Sc,74.1,230
"critical thinking, analytic thinking, product knowledge, team work, excel, observation skills, risk managing, reporting, reading, designing skills","research, take risk for profits, understand human behaviour",Design engineer,recommender_dataset,BE,76,105
"docker,kubernetes,amazon web services (aws),bash,apache,
new relic apm,jenkins,internet information services (iis),terraform,aks,continuous integration and continuous delivery (ci/cd),amazon ec2","information technology,blockchain",DevOps Engineer,recommender_dataset,B.Tech,74.67,107
"full stack, java, python, reactjs",software job,Software developer,recommender_dataset,B.Tech,74.1,307
"active listening,analytical skills,negotiation skills,product knowledge,problem solving skills,risk management skills,machine learning skills,python","supply chain analysis,data scientist,machine learning,excel",Production Engineer,recommender_dataset,BE,88.35,242
"web development (php, codeigniter), java development, graphic desiging, android app development",software job,Software engineer 1,recommender_dataset,B.Tech,73.15,309
cad/cae(autocad/catia/ansys/proe/seimensnx),"technology,industires",Mechanical Design Engineer,recommender_dataset,B.Tech,74.1,201
"programming language skills,analytical skills,communication skills,leadership,editing,problem solving skills,designing skills,writing skills,machine learning skills,sales,social media marketing,r,python,artificial intelligence,sql,architecture,matlab,good communication skills,teaching,aws,php,programming language c,javascript","research,sales/marketing,teaching,technology,web designing,content writing,data analytics,digital marketing,data scientist,web development,market reserach,social media marketing,gardening,service,design,information technology,machine learning,excel",Junior Software Engineer,recommender_dataset,M.Tech,87,172
"python, java, sql, programming, problem solving skills",it field,Mapping,recommender_dataset,B.Tech,69,194
"business knowledge,negotiation skills,product knowledge,sales","technology,supply chain analysis",Associate SCM,recommender_dataset,B.Tech,60.8,28
designing skills,technology,Engineer,recommender_dataset,Diploma,70,121
"company law,company secretarial work,due diligence,corporate law,industrial and labour law,company law,corporate social responsibility,public company compliance,statutory compliances,regulatory compliance",financial analysis,Company Secretary,recommender_dataset,B.Com,83.03,69
"active listening,programming language skills,gathering information,mass communication,content creation","teaching,technology,web designing",Programmer,recommender_dataset,B.Tech,68.4,247
"active listening,negotiation skills",technology,Data Entry,recommender_dataset,BCA,71.25,93
stack web development,software job,Associate software engineer,recommender_dataset,B.Tech,78.85,33
"programming language skills,business knowledge,analytical skills,communication skills,python,sql","all fields related to data science.,machine learning,sports industry",Data Scientist-Intern,recommender_dataset,BE,73.53,96
"power electronics,simulink,inverters,matlab,plc,variable frequency drives,switchgear,industrial control",technology,Engineer-Power Electronics,recommender_dataset,B.Tech,79.8,122
"programming language skills,people management,communication skills,editing,c++,sql","technology,data analytics",Publishing executive,recommender_dataset,B.Sc,78,253
"active listening,hardware skills,programming language skills,critical thinking,gathering information",web development,Senior software engineer,recommender_dataset,B.Tech,71,294
"analytical skills,machine learning skills,python,artificial intelligence,sql","technology,supply chain analysis",Techno commercial,recommender_dataset,B.Tech,85,343
"active listening,people management,civil & criminal law,negotiation skills,machine learning skills",understand human behaviour,Advocate,recommender_dataset,Law Hons  ,61.4,12
"analytic thinking, product knowledge, team work, logical skills","research, sales/marketing, technology, entrepreneurship",Sales Executive,recommender_dataset,B.Tech,68.4,280
"accounting skills,active listening,communication skills,product knowledge,problem solving skills","research,teaching,technology,trading",Electrician,recommender_dataset,B.Tech,52,117
"programming language skills,critical thinking,analytical skills,problem solving skills,python,medical knowledge,matlab,teaching","research,teaching,technology,trading,understand human behaviour,understand human body,data scientist,market reserach,social media marketing,industires",Assistant Professor,recommender_dataset,BE,62.26,16
"analytical skills,data visualization skills( power bi/ tableau ),machine learning skills,social media marketing,r,python,artificial intelligence",data analytics,Mechanical design engineer,recommender_dataset,B.Tech,63.9,205
"c++,hadoop,java,sql,core java,javascript,pl/sql,informatica","trading,web designing,content writing,web development,social media marketing",System Engineer,recommender_dataset,B.Tech,80.37,325
"active listening, python, gathering informing, programming",entrepreneurship,Mechanical Engineer,recommender_dataset,B.E,88.35,202
"accounting skills,finance related skills,civil & criminal law,negotiation skills,risk management skills","financial analysis,social causes,information technology,agriculture, services,excel",CS,recommender_dataset,Law Hons,67,57
"javascript,python",data analytics,Software Developer,recommender_dataset,B.Tech,73.15,302
javascript,data analytics,Associate Software Engineer,recommender_dataset,B.Tech,65.55,29
"hardware skills,programming language skills,communication skills,problem solving skills,risk management skills,writing skills,presentation skills,linux,python,java,cloud computing","technology,information technology",Software Engineer,recommender_dataset,B.Tech,71.25,304
"teamwork,time management,company secretarial work,legal compliance,communication,teamleadership,interpersonal skills,presentations,interpersonal communication,companies act,indirect taxation",financial analysis,Company Secretary,recommender_dataset,B.Com,67.45,69
"microbiology, cell culture ,molecular biology, bioprocess,
katte virus","research,understand human body,biotechnology",Research Associate,recommender_dataset,B.Tech,83.22,269
cloud computing,information technology,Trainee Developer,recommender_dataset,B.Com,47,351
"java backend development, c, c++, problem solving skills, jdbc programming ,object oriented programming, string stringbuffer and stringbuilder in java ,design and prototype in adobe xd ,html, css,javascript for web developers, responsive web design",machine learning,Full Stack Developer,recommender_dataset,B.Tech,84.55,137
civil & criminal law,"social justice,social causes",Lawyer-Forensic Investigations,recommender_dataset,BALLB,74.1,179
"accounting skills,active listening,programming language skills,gathering information,wealth management,content creation","supply chain analysis,content writing,data analytics",Assistent Manger,recommender_dataset,B.Tech,53,21
civil & criminal law,social justice,litigation,recommender_dataset,Law Hons,73,372
"proeficiency in software like staad pro, etabs","construction,construction manegement",Civil & Structural Engineer,recommender_dataset,B.Tech,83.41,62
"ai, ml, python, critical thinking, analytic thinking, artistic skills, work under pressure, team work, logical skills, presentation skills","research, trading, understand human behaviour",Scientist,recommender_dataset,B.Sc,70,286
"active listening, leadership, market study, team work, mass communication, writing, reading, sales","financial analysis, research, sales/marketing, trading, entrepreneurship",Mechanical Engineer,recommender_dataset,BE,68.4,202
"finance related skills,people management,communication skills,leadership,sales,social media marketing","financial analysis,news coverage,sales/marketing,social causes,construction,construction manegement",Business,recommender_dataset,BBA,67,49
"programming language skills,analytical skills,c++,linux,sql,java,cloud computing",financial analysis,Software Engineer,recommender_dataset,B.Tech,66.5,304
active listening,industires,Supply Chain,recommender_dataset,Diploma,62.985,322
"active listening,people management,leadership,cloud computing","trading,data analytics,data scientist,all fields related to data science.",Associate IT consultant,recommender_dataset,BE,59,27
"active listening,programming language skills,critical thinking,communication skills,java,cloud computing","web designing,data scientist",Sales force,recommender_dataset,B.Tech,66.5,283
"active listening,gathering information,analytical skills,leadership,machine learning skills,interpersonal skills,medical knowledge","teaching,technology,understand human body",Deputy warden,recommender_dataset,BE,66.88,103
"gathering information,finance related skills,civil & criminal law","teaching,design",Teacher,recommender_dataset,B.Tech,66,333
"active listening,work under pressure,team work,presentation skills,reading",teaching,Teaching,recommender_dataset,B.Tech,65.55,334
"bootstrap,node.js,angular,jira,trello,jquery,javascript,ajax,php,codeignitor,loopback,","data scientist,web development,social causes,all fields related to data science,machine learning",Web Developer,recommender_dataset,B.Tech,72.2,366
"business knowledge, people management, communication skills, logical skills, problem solving skills, reading, sales","sales/marketing, entrepreneurship",Business Consultant,recommender_dataset,Bachelor of Management Studies,61.56,51
teaching experience,govt. job,Teaching experience 5 years,recommender_dataset,B.Sc,60,336
"accounting skills, business knowledge, editing, excel, designing skills, sales",hospitality,Medical Practitioner,recommender_dataset,Diploma in pharmacy ,84.55,209
"accounting skills,critical thinking,gathering information,artistic/creative skills,analytical skills","news coverage,social justice,content writing,govt. job",Sub Editor,recommender_dataset,B.Sc,67,319
"polymerase chain reaction (pcr),molecular biology,life sciences,molecular biology protein purification,protein chemistry,protein assays,protein electrophoresis,protein chromatography,western blotting,protein structure prediction,protein kinases, protein structure ,protein characterization ,protein engineering","research,understand human body,biotechnology",Research Associate,recommender_dataset,B.Tech,70.015,269
"active listening,critical thinking",technology,Se,recommender_dataset,B.Sc,70,288
"phytochemistry,metabolomics,protein expression,pcr,molecular biology,life sciences,polymerase chain reaction (pcr),dna,biochemistry,bioinformatics,cell culture,protein purification,chemometrics","research,understand human body,biotechnology",Assistant Professor,recommender_dataset,B.Tech,84.075,16
"artistic/creative skills,mass communication","news coverage,content writing",Sub-editor,recommender_dataset,Bachelor of journalism,64,321
"leadership,r,python,sql",all fields related to data science.,Maths Content Developer,recommender_dataset,B.Tech,54.44,200
"active listening,finance related skills,people management,communication skills,negotiation skills,interpersonal skills,hr","financial analysis,sales/marketing,trading,understand human behaviour",HR executive,recommender_dataset,BBA,76.95,151
"active listening,hardware skills,critical thinking,gathering information,artistic/creative skills,business knowledge","teaching,technology,trading,home interior design,industires,design",Civil engineer,recommender_dataset,B.Tech,71,65
"python, java",software job,R&D Engineer,recommender_dataset,B.Tech,78.85,264
"excel, interpersonal skills, presentation skills, subject knowledge",technology,Mechanical Engineer,recommender_dataset,B.Tech,65,202
"programming language skills,communication skills,leadership,problem solving skills,linux,sql,good communication skills,foreign languages french, spanish","web designing,web development,social media marketing,information technology",Associate Consultant,recommender_dataset,B.Tech,84.55,23
diploma in visual effects,software job,Vfx artist,recommender_dataset,B.Tech,73.15,364
"python, java, sql, oracle, programming, team work, linux, problem solving skills, subject knowledge",technology,PLM CONSULTANT,recommender_dataset,B.E,83.6,227
communication skills,govt. job,Quality Engineer,recommender_dataset,BE,71.82,261
designing skills,technology,Design engineer,recommender_dataset,BE,68.4,105
"critical thinking,artistic/creative skills,leadership,product knowledge,problem solving skills,designing skills","technology,trading,understand human behaviour,design",UX designer,recommender_dataset,B.Tech,61.75,359
"accounting skills,business knowledge,people management,communication skills,product knowledge,data visualization skills( power bi/ tableau ),sql,hr,good communication skills","financial analysis,research,technology,understand human behaviour,data analytics,game industry",Swimming coach,recommender_dataset,BBA,50.635,323
"accounting skills, business knowledge, programming, people management, leadership, creativity skills, team work, excel, presentation skills, problem solving skills, reporting","take risk for profits, teaching, technology",Office assistant and acoounts,recommender_dataset,B.Sc,58,222
"active listening,programming language skills,critical thinking,gathering information,artistic/creative skills,communication skills,problem solving skills,designing skills,writing skills,c++,presentation skills,linux,artificial intelligence,sql,content creation,java,cloud computing","research,technology,web designing,content writing,digital marketing",Software Programmer,recommender_dataset,BCA,76.89,305
"accounting skills,active listening,programming language skills,critical thinking,gathering information,analytical skills,finance related skills,civil & criminal law,communication skills,problem solving skills,risk management skills,designing skills,data visualization skills( power bi/ tableau ),machine learning skills,sales,social media marketing,interpersonal skills,presentation skills,r,python,sql,content creation,java,cloud computing,architecture","financial analysis,research,sales/marketing,technology,trading,understand human behaviour,understand human body,supply chain analysis,web designing,content writing,data analytics,data scientist,web development,market reserach,social media marketing,gardening,social causes",Assistant System Engineer,recommender_dataset,B.Sc,66,17
"programming language skills,python,sql,java,aws,javascript","technology,web designing,data analytics,data scientist,web development,all fields related to data science.,machine learning",Back-end Developer,recommender_dataset,BCA,74.29,43
"programming language skills,critical thinking,editing",home interior design,Operator,recommender_dataset,BE,63.65,225
